Municipio;Total_2015;Total_2016;Total_2017;Total_2018;Total_2019;Total_2020;B_E _Industria_2015;B_E _Industria_2016;B_E _Industria_2017;B_E _Industria_2018;B_E _Industria_2019;B_E _Industria_2020;F_Construccion_2015;F_Construccion_2016;F_Construccion_2017;F_Construccion_2018;F_Construccion_2019;F_Construccion_2020;Comercio_Transporte_Hosteleria_2015;Comercio_Transporte_Hosteleria_2016;Comercio_Transporte_Hosteleria_2017;Comercio_Transporte_Hosteleria_2018;Comercio_Transporte_Hosteleria_2019;Comercio_Transporte_Hosteleria_2020;J_Informacion_Comunicaciones_2015;J_Informacion_Comunicaciones_2016;J_Informacion_Comunicaciones_2017;J_Informacion_Comunicaciones_2018;J_Informacion_Comunicaciones_2019;J_Informacion_Comunicaciones_2020;K_Actividades_Financieras_Seguros_2015;K_Actividades_Financieras_Seguros_2016;K_Actividades_Financieras_Seguros_2017;K_Actividades_Financieras_Seguros_2018;K_Actividades_Financieras_Seguros_2019;K_Actividades_Financieras_Seguros_2020;L_Actividades_Inmobiliarias_2015;L_Actividades_Inmobiliarias_2016;L_Actividades_Inmobiliarias_2017;L_Actividades_Inmobiliarias_2018;L_Actividades_Inmobiliarias_2019;L_Actividades_Inmobiliarias_2020;Actividades_Profesionales_Tecnicas_2015;Actividades_Profesionales_Tecnicas_2016;Actividades_Profesionales_Tecnicas_2017;Actividades_Profesionales_Tecnicas_2018;Actividades_Profesionales_Tecnicas_2019;Actividades_Profesionales_Tecnicas_2020;Educacion_Sanidad_Servicios_Sociales_2015;Educacion_Sanidad_Servicios_Sociales_2016;Educacion_Sanidad_Servicios_Sociales_2017;Educacion_Sanidad_Servicios_Sociales_2018;Educacion_Sanidad_Servicios_Sociales_2019;Educacion_Sanidad_Servicios_Sociales_2020;Otros_Servicios_Personales_2015;Otros_Servicios_Personales_2016;Otros_Servicios_Personales_2017;Otros_Servicios_Personales_2018;Otros_Servicios_Personales_2019;Otros_Servicios_Personales_2020;Total_Servicios_2015;Total_Servicios_2016;Total_Servicios_2017;Total_Servicios_2018;Total_Servicios_2019;Total_Servicios_2020
Acebeda (La);6;5;5;5;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ajalvir;606;615;625;648;649;646;151;148;147;153;142;134;64;64;61;64;73;71;230;214;221;227;230;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161;189;196;204;204;211
Alameda del Valle;18;19;18;18;20;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alamo (El);629;615;638;646;653;679;33;34;33;31;34;37;120;108;110;119;122;126;269;257;255;256;252;261;9;4;6;9;12;14;10;11;13;13;9;8;30;36;42;39;40;37;68;70;79;75;84;84;40;36;41;40;38;46;50;59;59;64;62;66;207;216;240;240;245;255
Alcalá de Henares;9047;9121;9337;9524;9776;10128;466;453;459;475;468;467;1217;1166;1207;1292;1383;1410;3421;3391;3398;3381;3421;3462;178;180;183;181;203;201;208;210;212;245;246;268;410;445;468;492;480;509;1528;1558;1592;1598;1700;1762;755;824;869;911;873;946;864;894;949;949;1002;1103;3943;4111;4273;4376;4504;4789
Alcobendas;10056;10409;10414;10903;10590;10844;464;573;544;766;672;674;1108;1129;1101;1111;1017;1045;2860;2814;2780;2801;2723;2764;579;552;550;555;538;557;309;355;367;402;374;390;681;735;755;803;768;774;2658;2771;2819;2865;2876;2953;745;813;820;871;879;903;652;667;678;729;743;784;5624;5893;5989;6225;6178;6361
Alcorcón;8891;8836;8834;9021;9122;9384;463;434;454;470;434;426;1175;1099;1086;1093;1144;1165;3593;3477;3392;3435;3377;3463;243;253;251;243;277;266;173;199;208;218;210;224;401;413;422;439;451;472;1440;1494;1508;1536;1583;1622;673;704;725;772;777;813;730;763;788;815;869;933;3660;3826;3902;4023;4167;4330
Aldea del Fresno;130;132;143;143;161;170;5;5;5;5;4;5;32;32;32;32;41;41;50;47;55;52;55;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;53;58;54;61;70
Algete;1778;1789;1800;1846;1885;1878;144;134;141;145;142;135;186;192;182;181;188;193;619;622;609;604;604;568;41;29;34;40;49;55;45;45;51;53;55;60;83;94;94;102;99;104;394;397;405;428;465;465;111;119;128;139;136;142;155;157;156;154;147;156;829;841;868;916;951;982
Alpedrete;1112;1109;1142;1156;1203;1254;35;28;29;29;33;36;147;154;153;154;145;150;318;303;303;319;327;332;38;39;38;42;38;42;31;30;32;40;41;43;61;74;81;77;78;79;253;256;274;264;298;314;126;122;121;134;135;145;103;103;111;97;108;113;612;624;657;654;698;736
Ambite;26;22;19;25;28;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anchuelo;71;75;79;73;67;70;0;0;0;0;4;4;0;0;0;0;8;11;34;40;41;36;33;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;25;24;26;22;25
Aranjuez;2822;2795;2814;2826;2920;2981;114;104;105;114;111;110;313;303;289;298;302;315;1079;1044;1036;1026;1036;1059;51;55;68;65;68;63;64;72;76;73;83;77;148;151;167;165;166;176;499;496;501;503;547;546;272;289;301;310;323;341;282;281;271;272;284;294;1316;1344;1384;1388;1471;1497
Arganda del Rey;3771;3899;3971;4094;4218;4377;636;617;625;649;631;634;563;575;581;609;647;687;1441;1475;1480;1502;1504;1557;43;56;55;66;56;62;54;60;69;70;65;70;164;162;176;185;184;187;462;512;513;529;581;601;149;160;175;186;209;230;259;282;297;298;341;349;1131;1232;1285;1334;1436;1499
Arroyomolinos;1990;2084;2193;2250;2382;2460;82;78;84;93;90;92;331;337;333;335;361;365;730;732;746;776;815;839;63;73;78;80;70;76;54;58;71;84;88;85;56;73;90;87;87;96;328;354;386;389;417;419;186;200;214;208;227;249;160;179;191;198;227;239;847;937;1030;1046;1116;1164
Atazar (El);0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Batres;132;140;143;140;147;153;6;6;6;7;6;7;16;14;12;13;16;16;53;54;55;54;51;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;66;70;66;74;77
Becerril de la Sierra;462;495;505;511;516;540;15;12;13;13;13;13;86;86;77;83;90;97;146;165;163;160;153;148;13;12;13;12;8;12;12;13;20;18;18;15;16;20;20;19;25;23;103;103;100;106;119;133;39;44;50;52;48;54;32;40;49;48;42;45;215;232;252;255;260;282
Belmonte de Tajo;62;60;67;77;79;89;10;10;13;17;16;17;14;13;16;15;17;21;24;22;21;23;23;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;15;17;22;23;27
Berrueco (El);33;33;42;39;48;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Berzosa del Lozoya;12;15;13;14;12;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Boadilla del Monte;5085;5324;5521;5747;5815;6094;146;139;145;166;172;167;412;407;432;413;420;448;1241;1253;1256;1285;1290;1351;237;257;254;275;270;277;192;215;218;253;237;246;356;379;414;433;414;433;1475;1573;1651;1737;1801;1841;652;713;748;773;771;849;374;388;403;412;440;482;3286;3525;3688;3883;3933;4128
Boalo (El);533;560;567;592;604;630;15;14;14;19;15;12;75;77;80;84;97;99;170;175;178;163;160;155;19;21;21;22;16;13;11;12;12;16;15;20;18;15;15;17;18;24;121;121;119;138;131;142;54;61;66;73;86;87;50;64;62;60;66;78;273;294;295;326;332;364
Braojos;17;17;17;15;16;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brea de Tajo;15;21;20;24;23;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brunete;785;808;805;812;829;859;24;26;30;24;25;28;103;103;107;108;110;119;263;276;249;245;251;251;21;24;22;24;21;22;10;12;12;12;14;14;44;42;42;42;43;41;154;161;167;159;181;186;79;83;90;95;93;97;87;81;86;103;91;101;395;403;419;435;443;461
Buitrago del Lozoya;131;130;127;137;150;145;4;5;4;0;0;4;23;22;21;21;21;23;57;59;53;61;66;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;44;49;52;58;53
Bustarviejo;170;176;181;193;200;206;7;7;8;9;9;10;32;32;32;31;28;28;54;55;52;58;60;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;82;89;95;103;105
Cabanillas de la Sierra;51;59;60;55;62;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cabrera (La);193;212;214;213;227;226;13;13;15;15;12;11;40;45;39;41;42;41;69;72;74;77;82;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;82;86;80;91;94
Cadalso de los Vidrios;187;161;167;173;169;175;23;18;18;17;16;17;48;43;44;48;50;55;70;61;70;71;63;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;39;35;37;40;40
Camarma de Esteruelas;556;540;561;578;564;564;44;45;41;51;50;49;118;109;109;104;84;87;192;178;190;201;200;194;7;9;8;7;9;10;10;10;13;12;12;12;27;27;34;35;30;30;83;85;85;85;80;79;32;32;33;37;42;40;43;45;48;46;57;63;202;208;221;222;230;234
Campo Real;485;469;496;496;495;496;60;58;61;60;61;63;94;90;96;94;89;80;199;196;202;198;189;198;0;0;5;5;6;4;0;0;6;6;6;6;13;15;19;19;19;18;51;49;54;59;58;66;32;26;28;29;32;31;29;27;25;27;35;30;132;125;137;144;156;155
Canencia;35;32;37;41;39;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carabaña;116;125;121;130;132;135;8;10;8;9;7;7;23;25;27;24;32;34;61;60;49;52;52;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;30;37;45;41;41
Casarrubuelos;243;256;267;277;274;281;16;18;20;22;22;24;42;49;52;59;56;57;120;116;116;113;116;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;73;79;83;80;87
Cenicientos;91;86;85;88;91;91;6;5;6;7;4;4;17;15;13;12;13;13;48;48;46;46;49;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;18;20;23;25;26
Cercedilla;491;499;503;511;527;566;0;10;13;10;10;9;98;90;98;99;100;94;155;160;158;160;158;165;15;14;14;12;14;14;0;6;6;7;6;4;15;16;16;16;19;22;103;107;99;98;106;125;37;41;48;50;58;63;55;55;51;59;56;70;228;239;234;242;259;298
Cervera de Buitrago;10;9;11;11;13;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chapinería;150;153;166;170;169;169;8;8;10;11;11;10;29;27;30;32;35;37;56;59;54;53;52;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;59;72;74;71;68
Chinchón;371;359;361;363;372;375;25;22;22;23;26;28;60;56;48;53;52;45;154;155;155;161;163;166;0;0;0;0;0;0;0;0;0;0;0;0;8;8;9;8;8;10;52;49;51;47;49;50;20;21;24;20;18;23;45;41;44;42;48;43;132;126;136;126;131;136
Ciempozuelos;1125;1127;1145;1199;1201;1280;87;90;100;108;105;109;210;201;192;201;201;216;441;420;428;435;445;459;13;14;14;22;22;29;14;17;17;17;17;18;41;45;49;47;48;57;156;159;154;172;164;187;75;84;90;95;89;85;88;97;101;102;110;120;387;416;425;455;450;496
Cobeña;444;450;483;516;525;535;21;18;19;19;18;23;58;58;56;65;61;73;152;142;148;164;166;160;13;12;15;15;19;22;7;6;10;8;9;11;19;19;20;19;22;20;86;95;105;112;118;115;43;46;54;65;67;63;45;54;56;49;45;48;213;232;260;268;280;279
Collado Mediano;553;560;585;609;637;657;13;14;13;14;13;16;83;74;81;81;88;86;137;135;139;145;163;164;21;27;29;24;27;24;13;20;21;17;17;17;32;29;31;32;28;30;150;160;153;174;176;186;55;54;65;64;63;73;49;47;53;58;62;61;320;337;352;369;373;391
Collado Villalba;3793;3800;3854;3940;3986;4055;146;144;136;145;139;127;542;525;529;546;578;595;1343;1293;1305;1309;1274;1269;115;110;119;128;131;124;86;90;100;104;101;110;159;158;170;178;178;187;714;761;780;771;790;833;317;340;339;359;366;374;371;379;376;400;429;436;1762;1838;1884;1940;1995;2064
Colmenar de Oreja;492;484;491;485;489;504;41;40;47;51;51;48;135;126;122;126;126;137;196;192;185;181;179;181;5;6;6;5;4;7;5;5;7;6;6;6;9;9;10;11;8;8;45;39;44;45;44;43;13;16;18;16;18;18;43;51;52;44;53;56;120;126;137;127;133;138
Colmenar del Arroyo;105;110;97;102;109;110;4;4;4;4;4;4;22;24;24;24;24;19;39;38;35;35;36;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;44;40;41;49;52
Colmenar Viejo;2793;2859;2948;3015;3081;3117;128;128;135;139;141;137;460;445;441;453;469;464;912;904;928;925;905;890;73;94;90;95;109;112;73;68;78;82;81;71;102;114;111;121;114;113;558;583;600;616;643;675;254;272;303;309;332;350;233;251;262;275;287;305;1293;1382;1444;1498;1566;1626
Colmenarejo;565;563;565;577;609;658;15;13;14;14;17;18;94;92;101;96;101;106;158;154;144;142;152;152;24;23;20;25;30;32;14;18;14;19;13;17;20;19;24;28;30;35;127;134;129;132;136;161;58;60;65;65;75;76;55;50;54;56;55;61;298;304;306;325;339;382
Corpa;23;24;20;24;33;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coslada;4762;4789;4811;4876;4827;4892;246;230;241;260;223;205;752;760;732;760;814;844;2210;2144;2143;2086;2008;2040;72;77;76;78;76;88;96;103;101;108;104;100;197;202;203;213;196;207;602;649;668;680;687;658;272;268;283;292;294;295;315;356;364;399;425;455;1554;1655;1695;1770;1782;1803
Cubas de la Sagra;399;436;449;471;471;478;30;29;31;37;34;34;76;72;74;74;88;82;147;164;165;165;160;167;8;7;5;6;7;6;11;13;12;12;13;12;16;18;19;18;15;19;56;58;59;68;62;63;23;32;33;39;40;42;32;43;51;52;52;53;146;171;179;195;189;195
